,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
37,Fortuna,20.06,45,0,4.1,-1.13,38.18
38,Waingapu,24.83,96,92,1.87,120.26,-9.65
39,Vaini,22.98,77,0,0.42,74.49,15.34
40,New Norfolk,10.11,61,40,6.7,147.06,-42.78
41,Nantucket,5.79,60,90,5.7,-70.1,41.28
42,Te Anau,16.43,89,92,6.77,167.72,-45.41
43,Ucluelet,4.34,93,90,0.92,-125.55,48.94
44,Akdepe,19.49,49,0,3.1,59.39,42.05
45,Aklavik,-6.84,85,75,1.5,-135.01,68.22
46,Barrow,15.48,70,76,4.97,-60.23,-38.31
47,Kapaa,19.93,78,75,4.1,-159.32,22.08
48,Mao,28.4,58,40,6.2,-71.08,19.55
49,Port Blair,28.78,100,0,3.72,92.75,11.67
50,Shingu,11.78,100,92,3.42,135.99,33.72
51,Vila Franca do Campo,18.0,55,20,4.6,-25.43,37.72
52,Saskylakh,-27.62,51,36,1.42,114.09,71.97
53,Thompson,-12.0,60,75,1.57,-97.86,55.74
54,Ayan,7.68,36,0,1.22,33.6,40.67
55,Bathsheba,26.0,74,75,7.2,-59.52,13.22
56,Georgetown,31.06,62,40,4.1,-58.16,6.8
57,Bethel,3.0,93,90,6.2,-161.76,60.79
58,Bilibino,-22.27,74,32,1.07,166.44,68.06
59,Kingsville,14.38,38,80,1.52,-76.42,39.45
60,Batagay-Alyta,-29.82,29,12,1.17,130.41,67.8
61,Cherskiy,-20.97,56,36,4.22,161.3,68.75
62,Ponta do Sol,26.88,77,0,1.97,-46.0,-20.63
63,Bredasdorp,19.44,60,36,2.1,20.04,-34.53
64,Sangar,-18.92,69,0,2.97,127.47,63.92
65,Jamestown,10.33,79,44,2.32,138.6,-33.21
66,Atuona,27.73,100,0,7.82,-139.03,-9.8
67,Butaritari,28.58,100,44,4.17,172.79,3.07
68,Maniitsoq,-2.97,98,88,3.47,-52.9,65.42
69,Poum,18.0,22,20,4.6,20.71,41.28
70,Puerto Ayora,27.33,74,0,5.1,-90.35,-0.74
71,Hainichen,3.42,86,75,7.7,13.12,50.97
72,Panlaitan,27.18,87,0,5.92,119.85,12.12
73,Colquechaca,8.38,93,88,0.27,-66.0,-18.7
74,Kencong,21.88,97,92,0.87,112.24,-7.78
75,Tiksi,-27.92,52,0,1.17,128.87,71.64
76,Mahebourg,25.74,94,75,2.6,57.7,-20.41
77,Ladario,23.32,34,0,4.02,-7.74,40.7
78,Dorchester,12.85,52,75,3.6,-2.44,50.71
79,Port Elizabeth,14.11,43,1,3.1,-74.98,39.31
80,Ambon,13.1,54,40,7.2,-2.56,47.55
81,Adrar,34.0,8,40,14.4,-0.29,27.87
82,Sorland,0.35,100,90,11.3,12.69,67.67
83,Tasiilaq,-2.0,79,76,18.5,-37.64,65.61
84,Saldanha,19.93,26,0,5.12,-6.55,41.42
85,Lewistown,4.11,86,75,7.7,-90.15,40.39
86,Challapata,8.58,71,68,0.97,-66.78,-18.9
87,Isangel,23.0,94,76,2.1,169.27,-19.55
88,Kaitangata,19.08,73,88,5.02,169.85,-46.28
89,Lebu,26.0,19,20,2.6,38.73,8.96
90,Faanui,29.38,98,92,5.92,-151.75,-16.48
91,Shostka,7.23,59,80,2.42,33.47,51.86
92,Busselton,16.08,34,0,7.67,115.35,-33.64
93,Yellowknife,-8.18,85,40,2.6,-114.38,62.45
94,Arraial do Cabo,29.0,66,0,7.2,-42.02,-22.97
95,Westport,10.45,66,75,3.6,-9.52,53.8
96,Ribeira Grande,18.0,72,20,3.6,-28.7,38.52
97,Las Matas de Farfan,24.98,68,24,1.42,-71.52,18.87
98,Lichinga,23.08,85,64,1.52,35.25,-13.3
99,Kavieng,28.88,100,68,4.22,150.8,-2.57
100,Henties Bay,16.67,90,80,2.24,14.28,-22.12
101,Arifwala,20.53,66,0,1.22,73.06,30.29
102,Puerto del Rosario,21.87,43,75,5.1,-13.86,28.5
103,Hithadhoo,29.83,100,20,4.72,73.08,-0.6
104,Pangobilian,26.08,90,0,2.57,117.86,8.8
105,Pangkalanbuun,23.78,95,24,1.12,111.62,-2.68
106,Yenagoa,31.48,66,56,3.37,6.26,4.92
107,Mar del Plata,15.08,66,0,4.17,-67.52,-46.43
108,Ulaangom,-5.37,92,88,1.17,92.07,49.98
109,Constitucion,14.06,40,5,1.22,-104.67,23.99
110,Palmer,14.1,48,40,6.7,139.16,-34.85
111,Ust-Kut,-15.97,78,0,1.62,105.75,56.78
112,Avarua,26.0,94,80,1.5,-159.78,-21.21
113,Torbay,3.88,74,75,5.1,-52.73,47.66
114,Sao Joao da Barra,30.0,58,40,1.5,-41.05,-21.64
115,Osa,0.68,90,64,7.57,55.46,57.28
116,Sawtell,23.93,88,92,2.1,153.1,-30.38
117,Bonito,25.13,100,92,2.07,-47.3,-1.36
118,Castro,13.0,66,0,7.2,-73.76,-42.48
119,Smolenka,5.78,65,92,5.12,22.76,54.15
120,Khandbari,1.43,79,80,0.67,87.21,27.38
121,Hambantota,25.0,88,0,2.1,81.12,6.12
122,Luderitz,20.68,76,0,7.92,15.16,-26.65
123,Mareeba,24.08,94,80,1.0,145.42,-16.99
124,Lagoa,22.77,43,0,6.7,-8.45,37.14
125,Hanmer Springs,17.18,61,24,6.37,172.83,-42.52
126,Batemans Bay,9.61,84,0,1.34,150.18,-35.71
127,Deputatskiy,-29.72,58,20,1.17,139.9,69.3
128,Kargasok,-3.37,86,12,1.67,80.87,59.06
129,Khandyga,-21.37,71,0,1.77,135.58,62.65
130,Cayenne,28.0,69,90,5.1,-52.33,4.94
131,Stepnogorsk,0.13,97,80,3.32,71.88,52.35
132,Maria Aurora,18.88,92,0,1.17,121.47,15.8
133,Skibbereen,13.0,58,75,2.1,-9.27,51.55
134,Peace River,-1.0,92,75,1.47,-117.29,56.23
135,Evensk,-5.47,93,64,7.77,159.24,61.92
136,Bluff,25.68,66,68,4.97,149.07,-23.58
137,Gao,39.38,14,20,4.32,-0.04,16.28
138,Sur,26.08,75,0,6.77,59.53,22.57
139,Dikson,-0.92,90,80,10.67,80.55,73.51
140,Itaueira,23.73,100,92,2.07,-43.03,-7.6
141,Aripuana,24.58,98,88,1.37,-60.63,-9.17
142,Kaeo,15.0,94,32,3.37,173.78,-35.1
143,Aragarcas,31.0,62,40,2.1,-52.25,-15.9
144,Portland,8.76,70,75,2.1,-122.67,45.52
145,Issia,36.18,41,32,2.32,-6.58,6.49
146,Blackburn,10.66,57,20,4.6,-2.48,53.75
147,Dargaville,16.23,91,8,3.47,173.86,-35.94
148,Severo-Kurilsk,-3.12,100,12,7.52,156.12,50.68
149,Flin Flon,-6.0,57,75,3.6,-101.88,54.77
150,Richards Bay,24.88,83,92,5.97,32.06,-28.77
151,Paraiso,14.13,40,5,1.22,-104.61,24.01
152,Byron Bay,25.01,83,88,5.7,153.62,-28.65
153,Pierre,-2.32,100,90,1.5,-100.35,44.37
154,Piacabucu,30.18,83,32,3.32,-36.43,-10.41
155,Kodiak,7.71,87,90,6.7,-94.76,39.95
156,Bay Roberts,3.86,56,75,6.2,-53.28,47.58
157,Komsomolskiy,-1.72,88,56,5.87,63.78,67.55
158,El Fuerte,18.38,56,0,0.87,-108.62,26.42
159,Kez,1.13,95,88,8.17,53.72,57.9
160,Kununurra,28.0,83,0,1.5,128.74,-15.77
161,Erzin,15.95,44,75,7.2,36.2,36.95
162,Ozinki,0.78,91,44,6.37,49.73,51.2
163,Flinders,17.95,82,0,3.1,150.85,-34.58
164,Yining,4.53,83,0,1.07,114.56,29.04
165,Verkhoyansk,-27.82,50,24,1.17,133.39,67.55
166,Quelimane,29.0,74,40,3.1,36.89,-17.88
167,Andapa,23.73,94,80,0.97,49.65,-14.66
168,Esperance,30.0,58,20,6.7,-61.45,10.24
169,Sumbe,30.0,96,75,2.6,13.84,-11.2
170,Kahramanmaras,14.48,22,75,2.6,36.93,37.58
171,Pitimbu,32.0,55,40,3.1,-34.81,-7.47
172,Fredericton,-1.33,30,1,8.7,-66.65,45.97
173,Hirara,21.68,100,8,7.92,125.28,24.8
174,Marfino,5.51,56,0,5.0,37.56,56.07
175,Karratha,23.88,95,100,10.07,116.85,-20.74
176,Otavi,27.13,38,48,0.42,17.34,-19.64
177,Storsteinnes,-0.92,68,40,1.5,19.23,69.24
178,Xining,-2.32,39,68,2.57,101.77,36.62
179,Dzhebariki-Khaya,-21.37,71,0,1.77,135.8,62.22
180,Dicamay,20.28,83,0,1.52,122.0,16.76
181,Pevek,-16.17,93,92,2.67,170.27,69.7
182,Pacific Grove,8.35,75,1,2.1,-121.92,36.62
183,Nizwa,24.53,31,0,1.97,57.53,22.93
184,Horta,20.44,25,20,6.7,2.16,41.43
185,Haysville,9.11,81,90,5.1,-97.35,37.56
186,Namatanai,27.68,100,56,4.82,152.44,-3.66
187,Carnarvon,24.88,24,0,4.72,22.13,-30.97
188,Matagami,33.58,27,32,1.92,8.4,9.67
189,Husavik,-5.47,57,0,1.92,-96.99,50.56
190,Sheltozero,0.58,80,36,5.37,35.37,61.37
191,Enshi,2.18,83,12,1.07,109.48,30.29
192,Miri,34.73,17,0,2.52,9.75,10.31
193,Sao Filipe,21.88,93,0,4.67,-24.5,14.9
194,Gorno-Altaysk,-1.97,96,36,1.22,85.96,51.96
195,Barela,31.0,22,56,4.17,80.05,23.1
196,Natal,32.49,55,40,4.6,-35.21,-5.81
197,Turayf,11.0,66,75,7.2,38.65,31.68
198,Knysna,17.0,88,90,1.5,23.05,-34.04
199,Srandakan,23.63,100,92,1.42,110.25,-7.94
200,San Patricio,25.78,65,8,1.92,-56.83,-26.98
201,Gonbad-e Qabus,10.0,100,90,4.1,55.17,37.25
202,Ambagarh Chauki,26.03,58,0,0.32,80.75,20.78
203,Arcachon,15.08,58,0,6.2,-1.18,44.65
204,Ahipara,16.98,100,0,4.27,173.16,-35.17
205,Rawson,17.58,62,0,4.77,-65.11,-43.3
206,Alyangula,29.0,83,36,2.6,136.42,-13.85
207,Santa Isabel do Rio Negro,30.28,79,8,1.57,-65.02,-0.41
208,Ouahigouya,39.88,15,24,5.57,-2.42,13.58
209,Saint Stephen,-1.22,39,1,3.1,-94.27,45.7
210,Coquimbo,14.0,87,90,2.1,-71.34,-29.95
211,Mangrol,21.28,59,24,1.82,76.51,25.33
212,Praia da Vitoria,17.78,80,0,1.34,-27.07,38.73
213,Bambous Virieux,25.75,94,75,2.6,57.76,-20.34
214,Talnakh,-3.97,91,92,7.47,88.39,69.49
215,Yanam,28.0,54,8,2.6,82.22,16.73
216,Ciudad Bolivar,32.23,45,0,5.92,-63.55,8.12
217,Margate,10.11,61,40,6.7,147.26,-43.03
218,Acapulco,28.0,65,5,1.67,-99.88,16.86
219,Hamilton,17.65,55,90,1.0,-64.78,32.3
220,Kysyl-Syr,-18.42,67,0,2.22,122.77,63.9
221,Shepsi,8.13,100,0,6.42,39.15,44.04
222,Longyearbyen,-10.0,72,75,7.2,15.63,78.22
223,Virarajendrapet,28.13,66,48,2.37,75.8,12.2
224,Kankan,37.08,34,0,2.87,-9.3,10.38
225,Geraldton,-7.0,28,5,5.7,-86.95,49.72
226,Pervomaysk,1.03,88,8,6.27,43.81,54.87
227,Kihei,18.04,77,75,2.1,-156.45,20.76
228,Chuy,20.28,88,88,7.92,-53.46,-33.69
229,Kajaani,0.0,83,90,3.1,27.73,64.22
230,Kharar,18.0,82,40,0.5,76.65,30.75
231,Sazava,7.98,73,75,1.5,14.9,49.87
232,Saint George,17.64,55,0,4.1,22.34,39.45
233,Chaupal,6.93,95,92,0.82,77.59,30.95
234,Basqal,3.0,86,90,3.1,48.39,40.75
235,Itarema,27.63,100,80,1.97,-39.92,-2.92
236,Dunedin,19.44,80,92,4.92,170.5,-45.87
237,Cabedelo,32.0,55,40,3.1,-34.84,-6.97
238,Pringsewu,23.88,93,20,0.87,104.98,-5.36
239,Mombaca,24.58,98,92,1.77,-39.63,-5.74
240,Osmena,23.73,97,80,3.12,124.59,12.17
241,Umm Lajj,21.43,74,0,6.47,37.27,25.02
242,Cidreira,22.03,68,0,6.62,-50.22,-30.17
243,Yar-Sale,-2.67,77,0,6.77,70.83,66.83
244,Biscarrosse,14.76,58,0,6.2,-1.18,44.41
245,Sayyan,23.83,18,0,2.97,44.32,15.17
246,Bandarbeyla,26.88,100,8,4.52,50.81,9.49
247,Lockport,-5.4,52,20,1.0,-96.94,50.09
248,Northam,11.13,46,20,3.6,-4.21,51.04
249,Passy,9.35,40,0,9.8,6.69,45.92
250,Wanaka,17.28,71,64,4.57,169.14,-44.7
251,Snyder,14.24,66,1,5.7,-100.92,32.72
252,Prince George,-3.42,100,20,0.77,-122.75,53.92
253,Anadyr,-1.07,86,75,9.0,177.51,64.73
254,Marzuq,25.63,26,0,3.87,46.47,14.4
255,Yulara,25.0,44,8,6.2,130.99,-25.24
256,Jiuquan,-4.62,63,0,2.57,98.49,39.73
257,Saint-Philippe,-3.78,35,1,7.2,-73.48,45.36
258,Veraval,9.97,57,40,6.2,0.71,49.65
259,Sayla,18.68,41,8,0.92,-73.22,-15.32
260,Sexsmith,0.23,92,75,1.92,-118.78,55.35
261,Patos de Minas,27.78,66,24,2.77,-46.51,-18.6
262,Mandera,31.11,15,56,1.34,41.86,3.94
263,Tuatapere,20.0,78,92,7.17,167.69,-46.13
264,Zyryanka,-14.82,75,48,3.67,150.89,65.73
265,Lasa,13.73,47,20,6.7,32.53,34.92
266,Sarkand,5.68,89,20,1.77,79.91,45.41
267,Kieta,26.38,96,80,2.27,155.63,-6.22
268,Tsabong,35.78,16,0,4.82,22.4,-26.02
269,Agadez,35.0,17,0,7.2,7.99,16.97
270,Ilulissat,-1.0,86,90,7.7,-51.1,69.22
271,Salinopolis,24.48,100,88,0.87,-47.36,-0.61
272,Ust-Tsilma,0.58,80,88,2.42,52.15,65.44
273,La Ronge,-5.0,73,40,2.6,-105.3,55.1
274,Saluzzo,21.41,35,0,1.0,7.49,44.64
275,Abhar,1.23,99,92,1.47,49.22,36.14
276,San Policarpo,24.73,99,80,3.92,125.51,12.18
277,Rio Cuarto,17.0,59,0,4.1,-64.35,-33.13
278,Prado,27.68,99,100,5.67,-39.22,-17.34
279,Karoi,28.68,48,12,1.67,29.68,-16.82
280,Haines Junction,-10.92,81,20,0.92,-137.51,60.75
281,Touros,32.0,59,75,3.6,-35.46,-5.2
282,Santa Maria,20.38,74,0,2.52,-53.81,-29.69
283,Salalah,27.0,69,20,5.1,54.1,17.01
284,Auki,37.08,18,0,2.07,6.51,12.18
285,Katsuura,9.02,66,75,1.5,134.5,33.93
286,Tual,29.88,94,68,2.67,132.75,-5.67
287,Eureka,7.69,100,90,1.5,-124.16,40.8
288,Hofn,2.0,100,90,3.1,-15.21,64.25
289,Souillac,13.59,41,0,6.2,-0.6,45.6
290,Nabire,20.13,95,48,0.92,135.5,-3.36
291,Provideniya,-1.27,96,92,14.37,-173.23,64.42
292,Poya,25.18,100,0,5.62,165.16,-21.35
293,San Cristobal,16.25,59,40,1.0,-78.55,-0.39
294,Awjilah,21.48,36,0,8.07,21.3,29.14
295,Zlobin,17.17,45,0,2.1,14.65,45.29
296,Imbituba,28.0,61,0,5.1,-48.67,-28.24
297,Sola,6.14,92,20,9.8,5.65,58.89
298,Bandar-e Lengeh,24.0,60,90,9.3,54.88,26.56
299,Damietta,17.08,54,0,7.27,31.81,31.42
300,Nouadhibou,23.0,60,20,7.7,-17.03,20.93
301,Buchanan,33.0,59,40,6.7,-10.05,5.88
302,Krasnokamsk,2.0,80,75,8.0,55.76,58.08
303,Dunmore Town,23.78,100,48,4.67,-76.65,25.5
304,Padang,28.0,88,40,1.0,100.36,-0.92
305,College,1.29,93,90,1.42,-147.8,64.86
306,Gayny,1.68,97,92,5.82,54.33,60.3
307,Rudnogorsk,-12.42,66,0,2.42,103.75,57.27
308,Talcahuano,15.0,67,0,2.6,-73.12,-36.72
309,Port Shepstone,24.43,87,64,9.02,30.45,-30.74
310,Paamiut,-0.72,97,0,20.77,-49.67,61.99
311,Kloulklubed,24.0,94,75,1.5,134.26,7.04
312,Great Bend,8.85,81,75,4.1,-98.78,38.36
313,Beringovskiy,-1.62,95,92,12.62,179.32,63.05
314,Dalby,24.2,73,92,3.6,151.26,-27.18
315,Asosa,31.38,26,68,2.97,34.53,10.07
316,Tiznit,20.93,69,24,4.62,-9.73,29.7
317,Port Lincoln,14.73,100,12,4.57,135.86,-34.72
318,Wenling,11.3,89,12,1.22,121.38,28.38
319,Obo,30.18,69,64,2.97,26.49,5.39
320,Kalemie,27.38,89,44,3.42,29.2,-5.95
321,Bani,24.43,87,12,3.07,120.27,15.89
322,Kabelvag,0.49,59,40,6.7,14.48,68.21
323,Jabinyanah,25.0,27,20,3.92,10.91,35.03
324,Leningradskiy,-14.22,95,80,4.92,178.42,69.38
325,Belaya Kholunitsa,1.03,96,92,4.37,50.85,58.84
326,Howard Springs,28.04,83,75,2.6,131.05,-12.5
327,Taoudenni,22.43,73,92,6.12,-3.98,22.68
328,Hangu,9.58,75,0,0.87,71.06,33.53
329,Buckeye,17.53,44,20,2.1,-112.58,33.37
330,Noumea,22.0,78,0,1.5,166.46,-22.28
331,Kabala,36.03,32,0,3.67,-11.55,9.59
332,Grindavik,7.58,100,90,11.8,-22.43,63.84
333,Lompoc,8.9,100,20,2.6,-120.46,34.64
334,Kristiansund,4.12,74,75,19.0,7.73,63.12
335,Severo-Yeniseyskiy,-5.27,80,36,0.77,93.04,60.37
336,Laguna,14.0,62,20,1.0,-110.01,27.52
337,San Ramon,21.51,68,40,3.1,-85.84,12.92
338,Namtsy,-16.0,71,0,3.0,129.66,62.72
339,Cabo San Lucas,22.31,33,5,1.0,-109.91,22.89
340,Bivolari,11.51,58,0,8.7,27.44,47.52
341,San Quintin,19.88,85,0,0.27,120.52,17.54
342,Morondava,30.43,73,24,3.87,44.28,-20.3
343,Kjopsvik,0.19,100,75,2.6,16.37,68.1
344,Vila do Maio,27.0,42,75,3.1,-23.22,15.13
345,Wajima,9.93,82,48,5.02,136.9,37.4
346,Chowchilla,9.65,81,1,2.6,-120.26,37.12
347,Belmonte,20.56,41,0,4.47,-7.35,40.36
348,Moose Factory,-11.0,47,75,9.3,-80.61,51.26
349,Taksimo,-21.32,64,0,0.87,114.84,56.36
350,Red Bluff,8.63,93,90,4.77,-122.24,40.18
351,Lucea,27.29,69,20,7.2,-78.17,18.44
352,The Valley,27.8,65,40,9.3,-63.06,18.22
353,Narsaq,-1.0,86,90,5.1,-46.05,60.91
354,Ambilobe,24.13,100,88,1.57,49.05,-13.19
355,Khatanga,-8.47,80,80,7.82,102.47,71.98
356,High Level,-1.0,80,75,2.6,-117.13,58.52
357,Warrington,10.71,53,20,6.7,-2.59,53.39
358,Timbuktu,39.08,16,12,2.92,-3.01,16.77
359,Victor Harbor,13.84,48,40,6.7,138.62,-35.55
360,Troy,2.68,25,20,2.82,-73.69,42.73
361,Caranavi,25.08,71,0,1.07,-67.57,-15.83
362,Sakaiminato,5.04,70,75,1.5,133.23,35.55
363,Gizo,12.79,67,75,1.5,34.94,31.8
364,Victoria,27.09,83,75,2.57,115.24,5.28
365,Sohag,20.13,29,0,6.32,31.7,26.55
366,Port Hedland,25.0,100,75,6.2,118.58,-20.31
367,Dawei,24.83,89,44,1.02,98.19,14.07
368,Hualmay,22.93,77,32,2.52,-77.61,-11.1
369,Zlitan,19.58,50,0,5.62,14.57,32.47
370,Kiama,17.12,82,0,3.1,150.86,-34.67
371,Valparaiso,3.38,59,1,5.7,-87.06,41.47
372,Levokumskoye,7.43,67,0,1.37,44.66,44.82
373,Mackay,0.5,89,90,2.1,-115.58,53.65
374,Joao Pinheiro,26.93,80,12,2.52,-46.17,-17.74
375,Malegaon,24.03,61,0,1.27,74.52,20.56
376,Phalaborwa,37.0,27,8,1.5,31.14,-23.95
377,Lavrentiya,-1.32,95,92,9.32,-170.99,65.58
378,Sibu,25.0,94,75,1.0,111.83,2.29
379,Aksarka,-2.77,84,24,6.52,67.8,66.56
380,Muisne,24.0,100,90,1.5,-80.02,0.61
381,Worthing,12.7,47,20,5.1,-0.37,50.81
382,Rock Springs,-1.0,68,1,6.7,-109.2,41.59
383,Alekseyevka,1.0,94,75,7.0,50.49,53.25
384,Tahoua,39.0,10,0,4.1,5.26,14.89
385,Sartana,9.48,60,36,5.27,37.7,47.17
386,Gorontalo,23.18,94,12,0.87,123.06,0.54
387,Zwolle,8.7,66,75,9.3,6.09,52.51
388,Tigil,-8.47,82,80,4.22,158.67,57.8
389,Arlit,33.23,26,24,3.77,7.39,18.74
390,Ulladulla,13.0,82,0,3.1,150.48,-35.36
391,Panguna,22.58,89,24,1.12,155.48,-6.32
392,Praxedis Guerrero,14.66,24,40,1.5,-106.02,31.37
393,Kattivakkam,29.42,74,20,4.1,80.32,13.22
394,Carauari,31.03,78,0,1.72,-66.9,-4.88
395,Abrau-Dyurso,6.79,70,20,7.0,37.6,44.7
396,Nordhausen,5.59,75,20,10.3,10.79,51.51
397,Fairbanks,1.22,93,90,1.42,-147.72,64.84
398,Seoul,4.73,93,75,1.0,126.98,37.57
399,Srednekolymsk,-21.92,76,32,2.22,153.71,67.46
400,Nanortalik,-1.07,100,88,10.97,-45.24,60.14
401,Djibo,39.63,17,36,6.62,-1.63,14.1
402,Penalva,27.28,95,100,1.42,-45.17,-3.29
403,Antalaha,27.18,90,48,2.87,50.28,-14.9
404,Quesnel,-3.46,92,1,0.97,-122.49,52.98
405,La Roda,19.26,16,0,3.1,-2.16,39.21
406,Yaan,33.43,58,24,2.52,8.57,7.38
407,Saint-Paul,12.77,37,0,6.7,1.9,45.22
408,Codrington,24.86,83,80,2.6,153.24,-28.95
409,Tamandare,30.58,73,12,1.62,-70.75,-8.28
410,Tazovskiy,-2.07,89,80,6.82,78.7,67.47
411,Grand Gaube,25.8,94,75,2.6,57.66,-20.01
412,Malinovskiy,6.73,49,56,2.67,34.53,54.15
413,Kudat,28.0,78,75,3.1,116.84,6.89
414,Rabo de Peixe,18.0,55,20,4.6,-25.58,37.8
415,Sinnamary,27.73,88,80,4.57,-52.96,5.38
416,Santos Reyes Nopala,27.0,57,5,1.07,-97.16,16.11
417,Caravelas,27.53,100,48,8.52,-39.27,-17.73
418,Sipoo,2.86,80,75,1.0,25.27,60.38
419,Singuilucan,14.48,30,0,1.07,-98.52,19.97
420,Manuk Mangkaw,28.08,100,88,3.47,119.85,4.8
421,Vanavara,-14.27,70,0,1.22,102.28,60.35
422,Meadow Lake,-5.0,100,20,1.5,-108.44,54.13
423,Camacha,19.42,64,40,7.7,-16.33,33.08
424,Cap Malheureux,25.8,94,75,2.6,57.61,-19.98
425,Toamasina,28.0,78,40,1.0,49.38,-18.17
426,Vila Velha,28.35,74,75,2.1,-38.6,-3.71
427,Raudeberg,4.53,60,75,3.6,5.14,61.99
428,Corpus Christi,22.18,94,90,2.1,-97.4,27.8
429,Bundaberg,23.85,88,40,4.07,152.35,-24.87
430,Lewisporte,-1.47,58,90,5.1,-55.06,49.25
431,Tarbagatay,-1.0,74,75,6.0,107.36,51.48
432,Nishihara,11.44,61,1,1.72,139.53,35.74
433,Nemuro,2.23,85,0,10.42,145.57,43.32
434,Pohrebyshche,4.0,86,75,2.0,29.26,49.49
435,Matara,12.0,54,75,1.17,-72.9,-13.74
436,Sergeyevka,3.03,90,56,6.47,67.42,53.88
437,Clyde River,-19.0,77,90,18.5,-68.59,70.47
438,North Platte,6.74,81,90,2.6,-100.77,41.12
439,Alugan,24.73,99,80,3.92,125.48,12.22
440,El Campo,22.0,88,90,2.07,-96.27,29.2
441,Nuuk,-3.17,79,90,4.1,-51.74,64.17
442,Brzesko,5.35,80,40,3.6,20.61,49.97
443,Ketchikan,3.01,100,1,3.1,-131.65,55.34
444,Berlevag,-2.55,79,40,8.7,29.09,70.86
445,Floro,4.71,60,75,3.6,5.03,61.6
446,Huichapan,17.0,39,5,2.1,-99.65,20.38
447,Zimovniki,8.68,70,64,2.57,42.46,47.15
448,Szentes,13.29,66,92,1.5,20.26,46.65
449,Zabol,24.0,33,0,2.1,61.49,31.03
450,Brae,6.16,86,40,5.1,-1.35,60.4
451,Aksu,0.0,89,0,1.0,76.93,52.04
452,Mahina,36.13,32,12,1.97,-10.85,13.76
453,Ratzeburg,7.74,61,75,3.6,10.77,53.7
454,Mayo,-4.0,92,20,0.97,-135.9,63.59
455,Port Hardy,4.0,100,90,1.0,-127.42,50.7
456,Sao Francisco,27.0,57,20,4.1,-53.85,-25.65
457,Parana,31.0,70,75,1.5,-72.89,-7.52
458,Oktyabrskiy,5.59,48,0,4.0,37.97,55.61
459,Kamenskiy,0.48,93,0,5.02,45.49,50.89
460,Joutseno,1.84,74,90,2.1,28.48,61.11
461,Minab,24.0,69,90,2.1,57.07,27.15
462,Atar,30.53,17,0,4.22,-13.05,20.52
463,Alofi,25.0,78,75,4.6,-169.92,-19.06
464,Pokhara,11.28,82,8,1.17,83.99,28.21
465,Vestmannaeyjar,7.0,100,90,11.3,-20.27,63.44
466,Bonthe,33.03,55,0,3.22,-12.5,7.53
467,Pisco,22.0,30,0,3.1,-76.2,-13.71
468,Tura,22.63,64,56,2.07,90.21,25.52
469,Santa Vitoria do Palmar,20.28,88,88,7.92,-53.37,-33.52
470,Inirida,29.83,80,20,1.32,-67.92,3.87
471,Bayji,15.38,95,92,3.47,43.49,34.93
472,Viedma,16.58,59,0,2.02,-62.99,-40.81
473,Harper,19.4,82,90,5.7,-99.24,30.3
474,Chapleau,-6.0,24,5,5.7,-83.4,47.85
